Date,Company,Title,Description,Link,Domain
30-07-2020,,Insurance broker Acrisure acquires Tulcos AI business to transform industry," Insurance brokerage firm Acrisure has acquired the artificial intelligence arm of alternative investing platform Tulco, in a move that aims to boost AI’s application in the insurance industry. The $400 million transaction is reportedly Acrisure’s largest ever deal, and adds to its catalog of more than 500 takeovers in recent times, as the broker develops technology for its business lines. Thomas Tull, the chairman and chief executive officer of Tulco, will become chairman of a new technology group at the brokerage. The acquisition builds on a year-long partnership between Acrisure and Tulco, which last year saw the creation of Altway Insurance, a fully-AI backed brokerage focused initially on individual health benefits. According to Acrisure CEO and founder Greg Williams, the deal will help the company lead the charge on AI within insurance. “Businesses that succeed in the medium to long term must be nimble, data-rich and digitally oriented,” said Williams in a statement. “The transaction with Thomas Tull and the Tulco team accelerates our ability to do all the above.” He added: “We’ve worked with the Tulco team for almost a year and our vision for Acrisure and the industry are completely aligned. Tulco’s world-class talent and ability to apply AI and intelligent automation is immeasurable as it relates to meeting the needs of our clients and transforming our company.” Acrisure has previously invested in robust data sets and internal analytics to better understand the risk needs of its clients, but having Tulco on board will help enable the deployment of new technologies in a wider context, bringing AI, data science and machine learning capabilities to the business. Indeed, AI and machine learning has been a source of great interest to both the insurance and wider financial industries in recent times. From behavioural policy pricing leveraging IoT tech, to fast customized claims settlements via virtual claims adjusters, AI is set to radically change the industry in coming years. Commenting on the acquisition, existing Tulco board member Jim Breyer noted, “The insurance sector is ripe for transformation and combining Tulco’s market-proven AI and data science products with Acrisure will deliver insurtech at scale.”",https://aibusiness.com/document.asp?doc_id=762823&site=aibusiness,Finance
27-07-2020,,"Royal Bank of Canada deploys a private cloud for AI with Nvidia, Red Hat"," Royal Bank of Canada (RBC) and Borealis AI partnered with Nvidia and Red Hat to create a computing platform for AI in banking. Borealis AI is a specialized research center established by RBC, Canada’s largest financial institution, in 2016. The center focuses on natural language processing, reinforcement learning, and responsible AI, to address challenges such as risk and fraud, and improve customer experience. The bank’s new dedicated AI cloud, powered by Nvidia’s DGX GPU-based servers and Red Hat’s OpenShift software, has the ability to run thousands of simulations and analyze millions of data points in a fraction of the time it previously took. “Modern AI cannot exist without access to high performance computing,” said Foteini Agrafioti, chief science officer, RBC, and head of Borealis AI. “This collaboration means that we can conduct research at scale and deploy machine learning applications in production with improved efficiency and speed to market.” Borealis AI intends to leverage the new infrastructure to create, deploy, and maintain AI-powered applications for personal and commercial banking, wealth management, and capital markets. “In today’s ever-changing marketplace, we must always be at the forefront of innovation for our clients,” said Mike Tardif, senior vice president, tech infrastructure, Royal Bank of Canada. “We are proud to have delivered a unique AI private cloud capability in-house, leveraging our strong collaboration with Red Hat and Nvidia. This cloud offers GPU acceleration and containerized platform benefits, and we are well positioned to provide the best experience possible for our customers going forward.” RBC said the new platform has improved trading execution and insights, helped reduce client calls, and allowed for faster delivery of new applications for clients, with the added potential to benefit the AI industry in Canada.",https://aibusiness.com/document.asp?doc_id=762709&site=aibusiness,Finance
27-07-2020,,Safehub gets $5m to predict damage from earthquakes," Shaking up the market A startup has raised $5m to help monitor the impact of earthquakes. California-based Safehub uses a network of distributed sensors to detect seismic events, and artificial intelligence to predict their effect on structures. This, the company says, can be useful not just for planning emergency response – but also for calculating financial loss estimates, including building damage and business interruption losses. The US suffers around 15 earthquakes per year with an average magnitude of 7 or greater – although there could always be a much larger event right around the corner. This amounts to an annual cost of $6.1 billion in building stock losses, according to a 2017 FEMA study. But the true number is likely higher, as the estimate does not include induced seismicity – where human activity causes earthquakes or tremors. “Our vision is a safer and more resilient world,” Andy Thompson, CEO of Safehub, said. “In the event of a natural disaster, organizations need timely and detailed information to get ahead of potential downtime and business interruption losses.” “With our platform, business continuity and emergency response professionals can understand the extent of the problem remotely, and prioritize damage assessments with building-specific data.” The funding round was co-led by Fusion Fund and Ubiquity Ventures. Bolt, Promus Ventures, Blackhorn Ventures, Maschmeyer Group Ventures, and Team Builder Ventures also participated. Safehub said that it plans to use the funds to accelerate deployment to Fortune 500 companies. “Software is leaping beyond the screen to solve more concrete business problems in the real world,” Sunil Nagaraj, managing partner of Ubiquity Ventures, said. ""Safehub uses smart hardware to help the largest companies in the world manage and monitor their buildings and offices to increase their resilience – a pain we are seeing magnified during COVID."" While its earthquake response service potentiality deals with the issue of human safety,  Safehub’s terms of service note that the company is “not responsible for any damages allegedly caused by the failure or delay of the Services. “In addition, you acknowledge that the Services, including remote access and mobile notifications, are not intended to be 100 percent reliable and 100 percent available.” Some of Safehub’s competitors go as far as to claim their AI systems can predict an earthquake a few minutes before it hits. In Mexico City, two years after a devastating earthquake, SkyAlert twice overstated the magnitude of upcoming earthquakes – the city's head of early warning systems told the Wall Street Journal this error caused tens of thousands of workers to leave work.",https://aibusiness.com/document.asp?doc_id=762694&site=aibusiness,Finance
19-07-2020,,Snorkel AI raises $15 million for end-to-end AI platform," California-based Snorkel AI, a startup spun out of the Stanford AI Lab, has raised $15 million in funding as it emerges out of stealth mode. The funding for Snorkel’s end-to-end machine learning platform came from Greylock, GV, and In-Q-Tel (the investment arm of the Central Intelligence Agency). The startup’s customers include US banks, large enterprises, and government agencies. Snorkel focuses on large training datasets, programmatically labeling and managing the training data that fuels AI models. For example, banks use the Snorkel Flow platform to build AI applications that classify and extract information from their loan portfolios. While at the Stanford AI Lab, the Snorkel founders developed technologies for training data that were used by companies including Google, Apple, and Intel. “Despite spending billions of dollars on AI, few organizations have been able to use it as widely and effectively as they want to,” said Alex Ratner, CEO of Snorkel AI. “Available solutions either ignore the most important part of AI today – the labeled training data that fuels modern approaches – or rely on armies of human labelwers to produce it. Snorkel Flow focuses on a new programmatic approach to the training data that enables enterprises to use AI where they couldn’t before.” Developers using the Snorkel Flow platform create ‘labeling functions,’ or rules, and other programmatic operators, which the platform automatically integrates to train machine learning models. Users then can then adapt the models by editing the programmatic training in Snorkel Flow’s interface. “We’ve consistently heard from Fortune 500 CIOs that they have been disappointed with their progress using AI, largely because they get stuck on the data,” said Saam Motamedi, partner at Greylock and Snorkel board member. “Customers’ rapid success with Snorkel Flow is a testament to the power of this new, data-centric approach, which has the potential to democratize AI across the enterprise.” Snorkel Flow has been used for a number of applications. For example, Google used the platform to replace hand-annotated labels in key machine learning pipelines, Intel used it to replace a high-cost, high-latency crowdsourcing pipeline to accelerate sales and marketing agents, and researchers at Stanford Medicine used Snorkel Flow to label medical imaging and monitoring datasets, replacing person-years of hand labeling. “The time, expertise, and costs involved in labeling training data present significant challenges to the US government in applying AI to missions of national security,” said A.J. Bertone, a partner at In-Q-Tel. “Snorkel AI provides a revolutionary capability that can greatly reduce the level of effort required to develop mission-ready machine learning models by addressing this critical data problem.”",https://aibusiness.com/document.asp?doc_id=762512&site=aibusiness,Finance
08-07-2020,,"Partnership on AI, Kodiak Robotics, Faraday Future, more take out PPP loans"," Silicon Valley libertarian mindset meets its limits Several artificial intelligence startups and foundations in the US have taken out Paycheck Protection Program loans. PPP was created as part of the $2 trillion CARES Act, aimed at retaining jobs during the COVID-19 pandemic and fighting its economic fallout. On the list of more than 660,000 companies that received more than $150,000 in loans was ‘the Partnership on AI to Benefit People and Society.’ The Partnership is a US-led alliance promoting the ethical development and deployment of AI technologies, and includes Amazon, Google, and Microsoft among its members, as well as Japanese companies like SoftBank and Sony, and South Korea's Samsung. With US-China relations souring, Chinese tech giant Baidu left last month. The group took out a loan of $350k-$1m, to help retain 29 jobs. The similarly named Artificial Intelligence Foundation took out roughly the same amount, saving 59 jobs. Despite the name, it is a for-profit business that has raised more than $10m to develop personalized, AI-based agents, including a ‘Digital Deepak’ Chopra. We downloaded Digital Deepak to ask what the company will use its PPP loan for, but were told to join a waiting list. The hard-science focused Noble Artificial Intelligence took out between $150k and $350k for 12 jobs. It develops AI for R&D, most recently offering free access to its platform to COVID-19 researchers. A number of self-driving vehicle startups and equipment suppliers also sought loans, including Pronto.ai, founded by Anthony Levandowski, who is awaiting sentencing for using Waymo trade secrets while employed at Uber. The company took out a loan of at least $350k for 17 jobs. With $1m-$2m in loans, autonomous trucking company Kodiak Robotics plans to keep 87 jobs. TuSimple, another self-driving trucking company, will keep 324 jobs thanks to a loan of between $2m and $5m. In June, TechCrunch reported that the company had hired investment bank Morgan Stanley to help it raise an additional $250 million from investors. Last week, TuSimple announced that it had teamed up with UPS, Xpress Enterprises, Penske Truck Leasing, and Berkshire Hathaway-owned grocery and food-service distributor McLane to build a coast-to-coast autonomous trucking network. Electric car company Faraday Future, which has self-driving ambitions, loaned $5m-$10m for 237 jobs. It has long struggled – we profiled its complicated journey in May. Chinese EV startups Byton, Nio, and Karma Automotive were also in favor of PPP loans – each getting between $5m and $10m. Byton, which furloughed hundreds of employees in April, said it would use the money to keep 387 jobs. But last week it announced it would stop operations for at least six months, and laid off North American workers. Nio, which reduced its headcount last year, said it would save 204 US jobs with the loan. In June, a local government in Hefei, China, provided it with a $1bn bailout package. Karma Automotive, which emerged out of the bankrupt 'Tesla Killer' Fisker, said it would keep 463 jobs thanks to the loan. It also went through multiple layoff rounds last year. Chinese automotive startups Saleen and Mullen Technologies, as well as the US research and development center of Chinese state-owned automaker Chang’an Automobile, all received between $350k and $1 million. Bluespace.ai, which wants to build autonomous driving systems for mass transit and raised $3.5m in December, received at least $150k to save five jobs. Loaning the same amount was driver assistance app Comma.AI. Then comes Velodyne, which builds the majority of the LiDAR sensors that help self-driving cars understand their environment. It took out a $5m-10m loan for 450 jobs. In the same loan bracket was its rival LiDAR developer Luminar, which will retain 341 jobs. Engineer.ai took out $1m-$2m to save 38 jobs. It claims to have created an artificial intelligence-assisted app development platform, raising nearly $30m from SoftBank. But a 2019 Wall Street Journal report uncovered that humans still did most of the work, with AI functionality heavily overstated. That year, its chief business officer Robert Holdheim sued the company for misleading investors. AI-based virtual assistant specialist Kore.ai received between $350k and $1m for 33 jobs. Enterprise artificial intelligence company Semantic AI took a loan out for $1m-$2m, saving 55 jobs. Another small business, Landing AI, received $350,000-$1m for an undisclosed number of jobs. AbsolutData, an enterprise AI firm unrelated to the vodka brand, took out $350k-$1m for 65 jobs. For the same amount, AI-powered enterprise data transparency and monetization platform Helios Data retained 15 jobs. ‘Cognitive’ supply chain management company LevaData joined the $350k-$1m club, saving 24 jobs. Nimble Data Technologies (not to be confused with the storage company) borrowed $150k-$350k for 17 jobs. Operating under the name Crest Data Systems, it develops AI and orchestration tools for businesses. Robust AI, which hopes to build an industrial-grade cognitive platform for robots, took out a $150k-$350k loan for 11 jobs. It previously received an investment from Playground Global, a venture fund established by Andy Rubin – but the Android creator's involvement has since been downplayed due to sexual harassment allegations while he was at Google. Autonomous robot company Tomahawk Robotics took out $350k-$1m for 21 jobs. Conversational search engine Searchable.ai, which is yet to launch a product off the back of a $4m funding round in June, took out a loan of $150k-$350k for seven jobs. Zenabi Data, which claims its AI can improve everything from fraud detection to supply chains, loaned $350k-$1m. VEDA Data Solutions, which uses AI on healthcare directories, raised $5m in December. A few months later it took out a PPP loan of $150k-$350k to save 19 jobs. Rekall.ai, a company so vague AI Business could not ascertain exactly what they do (although it's something to do with crypto), received $150k-$350k for 12 jobs. Document, invoice, and loan processing company SoftWorks AI took out a loan of its own. It saved 19 jobs for $150k-$350k. Encrypted traffic security company CounterFlow AI also took out at least $150k, saving 14 jobs. Wave Computing took out a huge $2m-$5m loan for just 29 jobs at the end of April – two days after it filed for bankruptcy. The once-promising AI processor company lost its CEO in December, and has struggled with high debt. Federal officials claim that the $521 billion in PPP loans supported over 51 million jobs nationwide.",https://aibusiness.com/document.asp?doc_id=762264&site=aibusiness,Finance
03-07-2020,,PwC partners with Cleareye.ai for new banking products," California-based Cleareye.ai has signed a joint business relationship agreement with PwC to develop and provide unique products to the banking industry. As part of the deal, PwC gains access to the Cleareye.ai platform and the range of products and solutions the company markets to its banking customers around the world. The platform provides conversational AI assistants and products for fraud detection and monitoring, third-party risk assessment and monitoring, and trade finance sanctions screening in the US, Europe, and India. The Cleareye.ai platform combines consumer experience sensing, insights generated from data, and AI-powered automation. ""PwC's partnership with Cleareye.ai evolved at a rapid pace, fueled by an increasing demand for AI-powered solutions from our customers,” said Liviu Chirita, partner and joint business relationship lead at PwC. “With our partners, we have an agile and agnostic approach to building such solutions, characterized by our ambition to create an asset-based consulting experience that is expertise-driven and technology-enabled.” The initial focus of the venture will be on regulatory compliance. “In regulatory compliance, we focus on increasing risk coverage and productivity while decreasing the cost of compliance,"" Chirita said. ""This collaboration is uniquely positioned to help our financial services clients tap into the consulting and subject matter expertise of PwC and technology depth and problem-solving abilities of Cleareye.ai,” added Mariya George, Cleareye.ai's president and co-founder. In May, Cleareye.ai acquired India-based startup Aiware.ai, which specializes in conversational tech, credit risk analytics and AI consulting, to further its efforts to sell artificial intelligence to banks.",https://aibusiness.com/document.asp?doc_id=762172&site=aibusiness,Finance
01-07-2020,,Hi Marley raises $8 million to develop conversational AI for insurance," The platform allows claims, underwriting and policy interactions by text Hi Marley, a startup specializing in AI-based conversation tech for the insurance industry, has closed an $8 million funding round. The Series A1 round brings the Boston-based company’s total financing to $18 million. The money will be spent on refining Hi Marley’s insurance focused conversational messaging product and increasing customer engagement, according to the company. The funding found was led by True Ventures and Underscore VC, with participation by Bain Capital Ventures and Greenspring Associates. “Hi Marley is solving a fundamental problem with the way insurance carriers interact with their insureds,” said Puneet Agarwal, partner at True Ventures. “We value the existing partnership with Underscore VC and True Ventures and welcome our new partners at Bain Capital Ventures and Greenspring,” said Mike Greene, founder and CEO of Hi Marley. “We’re grateful to have investors who appreciate the insurance industry and are aligned with the purpose and vision we share with our customers.” Hi Marley’s intelligent, text-based messaging platform is used by insurance companies and their partners to connect with customers for transactions across claims, service, and underwriting. For example, the system can be used to notify customers of premium relief credits and billing options relating to the global pandemic. The Hi Marley AI platform, launched in 2017, is used by insurers including American Family and Plymouth Rock. “The Hi Marley platform is helping our insurance business level-up to, and even exceed, the expectations of our customers that are used to mobile-enabled experience in most other aspects of their life,” said Mary Boyd, president and CEO, Plymouth Rock Assurance. “Combining Hi Marley’s technology and the Plymouth Rock brand of uniquely human service, we are delivering proof that by meeting customers where they are and offering satisfying service, we can build a stronger business.” The new funding is expected to allow the expansion of the engineering team to accelerate certain industry features and grow the customer-facing teams to deal with market demand. Hi Marley also plans to build out its portfolio of APIs and increase partnerships with other industry platforms.",https://aibusiness.com/document.asp?doc_id=762121&site=aibusiness,Finance
25-06-2020,,Deloitte launches AI Institute to advance innovation in the enterprise," Professional services giant Deloitte has launched a center for applied artificial intelligence. The AI Institute is set to focus on using cutting-edge research to address real-world enterprise use cases. “Our goal is to blend Deloitte's deep experience in applied AI with a robust network of some of the most intelligent AI minds in the world to challenge the status quo,” said Nitin Mittal, AI co-leader and principal at Deloitte. “We aim to deliver impactful and game-changing research and innovation where humans work side-by-side with machines."" Mittal was named AI Innovator of the Year at the AI Summit New York in November 2019. Deloitte AI Institute hopes to recruit thought leaders, academic experts, startups, research and development groups, entrepreneurs, investors, and innovators to bolster its network. “This network of specialists and research, combined with Deloitte's depth of applied AI knowledge and understanding of pain points across industries and sectors — whether identifying use cases, understanding industry specific ecosystems, scaling from AI proof-of-concepts, or securing AI systems — can help organizations transform quickly with AI,” the company said in a statement. To develop ethical safeguards, the new center plans to collaborate with leading ethicists. ""With AI ethics, the Institute aims to help organizations achieve a positive future by bringing together top stakeholders from all sectors of society to discuss and co-design effective policies and frameworks, such as Deloitte's Trustworthy AI framework, for governing AI,"" said Irfan Saif, prinncipal at Deloitte Risk & Financial Advisory, and AI co-leader. To help enterprises move forward with AI, the institute aims to help organizations “remain distinctively human in a technology-driven world.” Click here to watch our interview with Deloitte’s Nittin Mittal at the AI Summit New York.",https://aibusiness.com/document.asp?doc_id=761990&site=aibusiness,Finance
11-06-2020,,New COVID-19 norms drive AI deals following record 2019 ," The number of mergers and acquisitions involving AI firms reached 279 in 2019, more than all the AI deals in 2017 and 2018 combined, according to a new study by Hampleton Partners. Despite the global pandemic, a further 95 M&A deals were recorded in the first quarter of 2020, with forecasts showing that the total could rise to the peak seen in the second half of 2019. “The arrival of Covid-19 is putting artificial intelligence innovators and companies further in the spotlight for strategic buyers,” said Heiko Garrelfs, sector principal at Hampleton Partners. “New norms such as health checks and social distancing at work are driving AI adoption and adaptation.” By volume, Apple made the most (10) AI-related acquisitions in the last 30 months, followed by Microsoft, Accenture and Oracle, with five each, and VMware, Facebook and ServiceNow, with four each. AI used for quantitative analysis accounted for 70 percent of all AI deals between May 2019 and May 2020. The largest AI deals included Thoma Bravo’s take-private of anti-malware company Sophos for $3.8 billion, the acquisition of Assurance IQ’s ML-based insurance search service by Prudential Financial for $2.4 billion and Hewlett Packard’s purchase of Cray’s high-performance computing technology for $1.4 billion. Healthcare, automotive and financial services are the sectors with the greatest potential for disruption by AI, according to Hampleton. Improvements in financial services, such as personalized financial planning, fraud detection and process automation, are seen as fueling AI adoption.",https://aibusiness.com/document.asp?doc_id=761653&site=aibusiness,Finance
03-06-2020,,Russian bank launches AI-based financial assistant named after Warren Buffet ," TalkBank, Russia’s first ’in-messenger’ virtual bank – with no offices or mobile apps – has launched an AI-powered virtual assistant, named after famed investor and business tycoon Warren Buffet. Buffet, the assistant, integrates into customers’ messenger apps to coach them on how to better handle their personal finances. Buffet gains access to client activities via the TalkBank platform and then applies artificial intelligence models to analyze spending patterns, coming up with recommendations on ways to spend smarter and increase savings. The bot is available via Facebook Messenger, WhatsApp, Viber, VK and Telegram and is able to answer questions posed in natural language. Buffet’s features include the ability to calculate monthly income and expenses, provide current information on exchange rates, remind about loan payments and help with planning a budget, setting financial goals or obtaining optimal travel insurance. As is typical with AI-based software, Buffet is able to learn as customers interact with it. The chatbot can be activated by contacting TalkBank in one of the five supported platforms by sending the message “hi.” Internal operations at TalkBank are also carried out with the help of AI systems, by chatbots that help customers apply for, and receive, bank cards, and transfer money online.",https://aibusiness.com/document.asp?doc_id=761467&site=aibusiness,Finance
