Title,Url,Description,Date,Source
Brillio sets up an office in Chennai,https://economictimes.indiatimes.com/tech/ites/brillio-sets-up-an-office-in-chennai/articleshow/77625071.cms,"The company said some of their customers were based in Chennai, and this office would bring them closer to those customers. Expanding into cities outside Bangalore in India was part of the company's plan in 2020, the management said. Last year, Brillio set up a new office in Pune and Hyderabad.",2020-08-19T07:43:18+05:30,http://economictimes.indiatimes.com/tech/rssfeeds/13357270.cms
It may look like an awkfard fit but Oracle’s bid for TikTok has a simple explanation: Data,https://economictimes.indiatimes.com/tech/internet/it-may-look-like-an-awkfard-fit-but-oracles-bid-for-tiktok-has-a-simple-explanation-data/articleshow/77625088.cms,"Microsoft Corp. has been seen as the front-runner in the race to acquire TikToks U.S. assets, and is the only company to publicly confirm talks with ByteDance. Trump told reporters Tuesday that Oracle also is interested in TikTok and could handle a purchase of the service.",2020-08-19T07:39:23+05:30,http://economictimes.indiatimes.com/tech/rssfeeds/13357270.cms
"Personal computer sales up 40-50%, gaming PC contribution may double in consumer biz: Lenovo India",https://economictimes.indiatimes.com/tech/hardware/personal-computer-sales-up-40-50-gaming-pc-contribution-may-double-in-consumer-biz-lenovo-india/articleshow/77615863.cms,Lenovo CEO and MD Rahul Agarwal told that online classes are driving sales of laptops in the consumer segment where students want devices with high computing power that they can use for studies as well as playing games. ,2020-08-18T19:56:49+05:30,http://economictimes.indiatimes.com/tech/rssfeeds/13357270.cms
Artificial Intelligence could add $450-$500 billion to GDP by 2025: Nasscom,https://economictimes.indiatimes.com/tech/internet/artificial-intelligence-could-add-450-500-billion-to-gdp-by-2025-nasscom/articleshow/77615427.cms,"Nasscoms action plan recommends focusing on five key areas -- strategy, data, technology stack, talent and execution. According to the report, if India acts quickly, it can become a leader in building a holistic data utilization and AI effort, especially as countries emerge from the pandemic and global economic slowdown.",2020-08-18T19:45:02+05:30,http://economictimes.indiatimes.com/tech/rssfeeds/13357270.cms
"Everstone, Goldman Sachs buy into US based Infostretch",https://economictimes.indiatimes.com/tech/internet/everstone-goldman-sachs-buy-into-us-based-infostretch/articleshow/77614727.cms,"Infostretchs customer list includes BMW, GlobeOne, Knipper, L'Oreal, Marriott, Roche, Silicon Valley Bank, Starwood, T-Mobile and Vodafone.",2020-08-18T19:03:05+05:30,http://economictimes.indiatimes.com/tech/rssfeeds/13357270.cms
Atmanirbhar Bharat: Govt launches contest to promote homegrown microprocessor companies,https://economictimes.indiatimes.com/tech/hardware/atmanirbhar-bharat-govt-launches-contest-to-promote-homegrown-microprocessor-companies/articleshow/77614095.cms,"Under the Swadeshi Microprocessor Challenge, 100 shortlisted companies will win a grant of total Rs 1 Crore, while 25 finalists will win Rs. 1 crore each. The top 10 teams entering the finale will get the seed fund of total Rs 2.30 Crore and 12 months of incubation support.",2020-08-18T18:24:08+05:30,http://economictimes.indiatimes.com/tech/rssfeeds/13357270.cms
IT firms turn to former employees to fill open roles as business revives,https://economictimes.indiatimes.com/tech/ites/it-firms-turn-to-former-employees-to-fill-open-roles-as-business-revives/articleshow/77613883.cms,"As businesses revive following stepped up outsourcing by clients to cut costs and scale up their technologies, IT services providers including Mindtree, Birlasoft and LTI are tapping their alumni network. For companies, bringing back old hands means they can hit the ground running as the employees are already familiar with its basic culture and practices. ",2020-08-18T18:10:49+05:30,http://economictimes.indiatimes.com/tech/rssfeeds/13357270.cms
"Realme launches C15, C12 budget smartphones in India",https://economictimes.indiatimes.com/tech/hardware/realme-launches-c15-c12-budget-smartphones-in-india/articleshow/77609539.cms,"Realme C15 will be available in two variants - 3GB+32GB priced at Rs 9,999 and 4GB+64GB priced at Rs 10,999. The smartphone will be up for sale on August 27.",2020-08-18T14:16:32+05:30,http://economictimes.indiatimes.com/tech/rssfeeds/13357270.cms
Tech Mahindra launches Upskilling-as-a-service platform,https://economictimes.indiatimes.com/tech/ites/tech-mahindra-launches-upskilling-as-a-service-platform/articleshow/77609354.cms,"Powered by New Age Delivery (NAD), UaaS will enhance employee competencies across emerging technologies like 5G, cloud, big data and robotic process automation. The learning platform leverages AI to provide interactive, on-demand, contextual and hyper-personalised upskilling to employees in self-service mode. ",2020-08-18T14:04:48+05:30,http://economictimes.indiatimes.com/tech/rssfeeds/13357270.cms
Birlasoft announces global strategic cloud partnership with Microsoft,https://economictimes.indiatimes.com/tech/ites/birlasoft-announces-global-strategic-cloud-partnership-with-microsoft/articleshow/77609019.cms,"The company said it intends to grow its Microsoft cloud business to $100 million with this partnership. Birlasoft has been a Microsoft Gold partner for 10 years now. ""Birlasoft empowers our customers to harness the full power of digital by combining enterprise applications with the most modern platforms, software and digitalization processes, said Dharmender Kapoor, CEO at Birlasoft.",2020-08-18T13:47:46+05:30,http://economictimes.indiatimes.com/tech/rssfeeds/13357270.cms
